CPRT - Copart,CPRT/copart
KMI - Kinder Morgan,KMI/kinder-morgan
LEN - Lennar,LEN/lennar
EFX - Equifax,EFX/equifax
TWTR - Twitter,TWTR/twitter
MDB - MongoDB,MDB/mongodb
ANSS - ANSYS,ANSS/ansys
WCN - Waste Connections,WCN/waste-connections
BIIB - Biogen,BIIB/biogen
APP - AppLovin,APP/applovin
NOK - Nokia,NOK/nokia
AVB - AvalonBay Communities,AVB/avalonbay-communities
TDG - Transdigm Group,TDG/transdigm-group
OKTA - Okta,OKTA/okta
AJG - Arthur J Gallagher,AJG/arthur-j-gallagher
NDAQ - Nasdaq,NDAQ/nasdaq
NWG - NatWest Group,NWG/natwest-group
WST - West Pharmaceutical Services,WST/west-pharmaceutical-services
BF.B - Brown-Forman,BF.B/brown-forman
ARE - Alexandria Real Estate Equities,ARE/alexandria-real-estate-equities
CTVA - Corteva,CTVA/corteva
GFS - GlobalFoundries,GFS/globalfoundries
AWK - American Water Works,AWK/american-water-works
STT - State Street,STT/state-street
EQR - Equity Residential,EQR/equity-residential
DFS - Discover Financial Services,DFS/discover-financial-services
AME - AMETEK,AME/ametek
AMP - Ameriprise Financial,AMP/ameriprise-financial
ALL - Allstate,ALL/allstate
PHG - Koninklijke Philips,PHG/koninklijke-philips
PEG - Public Service Enterprise Group,PEG/public-service-enterprise-group
IBKR - Interactive Brokers,IBKR/interactive-brokers
GOLD - Barrick Gold,GOLD/barrick-gold
KR - Kroger,KR/kroger
BBD - Banco Bradesco SA,BBD/banco-bradesco-sa
LI - Li Auto,LI/li-auto
CHT - Chunghwa Telecom,CHT/chunghwa-telecom
NUE - Nucor,NUE/nucor
BF.A - Brown Forman,BF.A/brown-forman
MFG - Mizuho Financial,MFG/mizuho-financial
SLF - Sun Life Financial,SLF/sun-life-financial
ZBRA - Zebra Technologies,ZBRA/zebra-technologies
TU - TELUS,TU/telus
DLTR - Dollar Tree,DLTR/dollar-tree
GLW - Corning,GLW/corning
PSX - Phillips 66,PSX/phillips-66
ROKU - Roku,ROKU/roku
CSGP - CoStar,CSGP/costar
WMB - Williams,WMB/williams
TSN - Tyson Foods,TSN/tyson-foods
